ADM_CD,year,month,LST,NDVI,NDBI,Albedo
11120510,2024,5,26.49252152,0.457111072,-0.148467253,0.087474085
11120520,2024,5,24.10776428,0.579929204,-0.225406593,0.078943662
11120550,2024,5,28.19758664,0.442328665,-0.121323533,0.096210162
11120560,2024,5,29.42973251,0.365058602,-0.070755137,0.101780888
11120570,2024,5,27.48139683,0.497933638,-0.175561875,0.090853034
11120580,2024,5,29.96008425,0.231737018,0.016930047,0.120225021
11120590,2024,5,27.15027639,0.417817458,-0.120083138,0.090710303
11120600,2024,5,26.16387964,0.434890951,-0.153842885,0.088414597
11120650,2024,5,28.62860729,0.381957667,-0.092606911,0.096206701
11120660,2024,5,27.18499032,0.516646024,-0.185860091,0.09394199
11120670,2024,5,29.30137225,0.40027635,-0.095054727,0.104071753
11120680,2024,5,26.85128691,0.470843716,-0.172447451,0.098543214
11120710,2024,5,22.61712155,0.669490057,-0.296646224,0.073890683
11120720,2024,5,27.35597706,0.446052491,-0.125033753,0.092599349
11120730,2024,5,30.45826423,0.269458279,0.002541215,0.105555416
11120740,2024,5,30.107391,0.26099456,0.002495485,0.102708163
11130520,2024,5,26.20674562,0.518956311,-0.208207474,0.096388097
11130620,2024,5,25.81648414,0.513240393,-0.203639643,0.089308023
11130640,2024,5,25.84501198,0.488839491,-0.166051174,0.085815472
11130650,2024,5,24.52205806,0.549979568,-0.215770308,0.077545506
11130660,2024,5,25.16445779,0.561345383,-0.226001816,0.088285819
11130680,2024,5,26.95887938,0.507082173,-0.187703335,0.093661901
11130690,2024,5,28.58099987,0.357822948,-0.107969148,0.107385777
11130700,2024,5,30.31151465,0.292305548,-0.047542884,0.106693986
11130710,2024,5,29.14140815,0.375844342,-0.108372789,0.101381488
11130720,2024,5,30.90486932,0.280376195,-0.017909152,0.103209371
11130730,2024,5,28.93434335,0.375884043,-0.101399883,0.103773492
